year,electricity_generation,fossil_electricity,renewables_electricity,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,renewables_share_elec,renewables_share_energy,fossil_share_elec,carbon_intensity_elec,per_capita_electricity,renewables_yoy_growth,fossil_yoy_growth,share_solar_in_renew,share_wind_in_renew,share_hydro_in_renew
1985,16.369,13.602,2.767,0.0,0.0,2.767,0.0,16.901,1.981,83.099,651.9836800000003,98.15,0.0,0.0,0.0,0.0,100.0
1986,18.415,13.96,4.455,0.0,0.0,4.455,0.0,24.191,2.987,75.809,643.5683100000005,108.212,61.00469822912904,2.631965887369514,0.0,0.0,100.0
1987,20.72,16.137,4.583,0.0,0.0,4.583,0.0,22.118,2.911,77.882,643.7707900000004,119.416,2.8731762065095534,15.594555873925508,0.0,0.0,100.0
1988,24.807,19.773,5.034,0.0,0.0,5.034,0.0,20.291,3.029,79.709,643.7020300000004,140.267,9.840715688413692,22.532069157836037,0.0,0.0,100.0
1989,28.487,22.207,6.28,0.0,0.0,6.28,0.0,22.045,3.408,77.955,642.9800000000004,158.084,24.751688518077074,12.309715268295164,0.0,0.0,100.0
1990,33.115,25.493,7.62,0.0,0.0,6.492,0.0,23.01,3.732,76.983,639.1173800000004,180.461,21.3375796178344,14.797136038186151,0.0,0.0,85.19685039370079
1991,38.103,29.64,8.461,0.0,0.0,7.409,0.0,22.205,3.812,77.79,639.0352500000004,203.999,11.036745406824156,16.26721060683325,0.0,0.0,87.5664815033684
1992,40.284,29.551,10.731,0.0,0.0,9.645,0.0,26.639,4.409,73.356,641.2246800000004,211.974,26.82898002600165,-0.3002699055330682,0.0,0.0,89.87978753145094
1993,39.707,29.722,9.983,0.0,0.0,8.891,0.0,25.142,3.848,74.853,641.5090000000004,205.413,-6.97045941664336,0.5786606206219957,0.0,0.0,89.06140438745868
1994,45.928,36.339,9.587,0.0,0.0,7.983,0.0,20.873,3.521,79.122,644.5347700000003,233.623,-3.9667434638886223,22.26297019043133,0.0,0.0,83.26901011786795
1995,54.121,43.612,10.506,0.0,0.0,8.293,0.0,19.412,3.539,80.584,644.0074400000004,270.754,9.585897569625534,20.01430969481825,0.0,0.0,78.93584618313344
1996,58.868,47.698,11.167,0.0,0.0,8.824,0.0,18.97,3.509,81.026,644.8826400000005,289.697,6.2916428707405325,9.368981014399711,0.0,0.0,79.01853676009671
1997,70.691,62.095,8.594,0.0,0.0,5.866,0.0,12.157,2.477,87.839,658.5126700000005,342.27,-23.041103250649243,30.18365549918236,0.0,0.0,68.25692343495462
1998,76.693,63.04,13.65,0.0,0.0,10.363,0.0,17.798,4.015,82.198,645.9701800000004,365.505,58.83174307656507,1.521861663579993,0.0,0.0,75.91941391941391
1999,83.971,69.648,14.321,0.0,0.0,10.38,0.0,17.054,3.852,82.943,648.0496600000002,394.221,4.915750915750916,10.482233502538074,0.0,0.0,72.48097199916208
2000,98.04,78.44,19.6,0.0,0.0,10.02,4.28,19.992,3.734,80.008,630.661,453.726,36.86195098107676,12.623478061107283,0.0,0.0,51.12244897959183
2001,106.16,83.97,22.19,0.0,0.0,11.65,4.58,20.902,4.113,79.098,626.036,484.532,13.214285714285712,7.04997450280469,0.0,0.0,52.501126633618746
2002,113.04,92.04,21.0,0.0,0.0,9.93,4.7,18.577,3.63,81.423,643.489,508.986,-5.3627760252365935,9.610575205430516,0.0,0.0,47.285714285714285
2003,117.39,97.57,19.82,0.0,0.0,9.1,4.8,16.884,3.162,83.116,656.53,521.622,-5.619047619047612,6.008257279443696,0.0,0.0,45.91321897073662
2004,124.78,103.81,20.97,0.0,0.0,9.67,5.01,16.806,3.366,83.194,653.711,547.457,5.802219979818357,6.395408424720728,0.0,0.0,46.11349546971864
2005,132.89,110.23,22.66,0.0,0.0,10.73,5.33,17.052,3.454,82.948,650.538,575.601,8.05913209346687,6.184375301030731,0.0,0.0,47.35216240070609
2006,138.0,116.82,21.18,0.0,0.0,9.62,4.9,15.348,3.17,84.652,668.116,589.866,-6.531332744924978,5.978408781638378,0.0,0.0,45.42020774315392
2007,148.4,124.11,24.29,0.0,0.0,11.29,5.98,16.368,3.314,83.632,663.14,625.996,14.683663833805484,6.240369799691847,0.0,0.0,46.48003293536435
2008,155.9,129.56,26.34,0.0,0.0,11.53,6.5,16.895,3.525,83.105,652.983,649.156,8.439687114038708,4.391265812585621,0.0,0.0,43.77372817008352
2009,162.87,136.08,26.79,0.0,0.0,11.38,6.11,16.449,3.605,83.551,660.588,669.641,1.7084282460136713,5.032417412781731,0.0,0.0,42.47853676745055
2010,177.56,142.93,34.63,0.0,0.0,17.46,7.81,19.503,4.348,80.497,636.855,720.894,29.26465098917508,5.033803644914747,0.0,0.0,50.41871209933584
2011,191.88,161.42,30.46,0.0,0.0,12.42,8.65,15.875,3.431,84.125,667.396,769.151,-12.041582442968524,12.936402434758264,0.0,0.0,40.77478660538411
2012,208.96,177.85,31.11,0.0,0.0,12.8,8.87,14.888,3.526,85.112,687.5,826.914,2.1339461588969044,10.17841655309133,0.0,0.0,41.14432658309226
2013,225.18,189.68,35.5,0.01,0.0,16.92,9.14,15.765,4.468,84.235,682.299,880.117,14.111218257794931,6.651672757942095,0.028169014084507,0.0,47.66197183098592
2014,237.54,203.13,34.41,0.01,0.0,15.16,9.18,14.486,4.608,85.514,691.589,917.577,-3.0704225352112813,7.09088991986504,0.0290613193839,0.0,44.05696018599245
2015,243.28,209.72,33.56,0.01,0.0,13.74,9.75,13.795,3.904,86.205,696.276,929.262,-2.4702121476314898,3.2442278343917774,0.0297973778307508,0.0,40.94159713945172
2016,257.55,217.97,39.58,0.02,0.01,18.68,10.21,15.368,5.632,84.632,689.031,973.255,17.93802145411203,3.9338165172611017,0.0505305709954522,0.0252652854977261,47.195553309752405
2017,265.83,222.64,43.19,0.03,0.0,18.63,11.47,16.247,5.471,83.753,688.448,994.327,9.12076806467912,2.1424966738541995,0.0694605232692752,0.0,43.13498495021996
2018,283.79,235.41,48.38,0.09,0.19,21.64,12.13,17.048,7.787,82.952,684.062,1051.262,12.016670525584638,5.7357168523176405,0.1860272840016535,0.3927242662257131,44.729226953286485
2019,295.44,247.4,48.04,0.12,0.48,21.16,12.17,16.26,8.28,83.74,693.813,1084.226,-0.7027697395618149,5.093241578522578,0.2497918401332223,0.9991673605328892,44.0466278101582
2020,291.82,238.93,52.89,0.17,0.47,24.33,12.35,18.124,10.218,81.876,685.046,1061.879,10.095753538717744,-3.4236054971705787,0.3214218188693515,0.8886367933446776,46.00113442994895
2021,309.36,253.16,56.2,0.19,0.44,24.7,14.96,18.167,10.794,81.833,684.219,1117.8,6.258271885044442,5.955719248315394,0.3380782918149466,0.7829181494661922,43.95017793594306
